"film","director","actor"
"http://dbpedia.org/resource/Don't_Ask_Who_I_Was","http://dbpedia.org/resource/Béla_Balogh","http://dbpedia.org/resource/Sándor_Szabó_(actor)"
"http://dbpedia.org/resource/Don_Juan's_Last_Adventure","http://dbpedia.org/resource/Márton_Keleti","http://dbpedia.org/resource/Antal_Páger_(actor)"
"http://dbpedia.org/resource/Don_Juan's_Last_Adventure","http://dbpedia.org/resource/Márton_Keleti","http://dbpedia.org/resource/Margit_Bara"
"http://dbpedia.org/resource/Don_Juan's_Last_Adventure","http://dbpedia.org/resource/Márton_Keleti","http://dbpedia.org/resource/Zoltán_Várkonyi"
"http://dbpedia.org/resource/Dream_Waltz","http://dbpedia.org/resource/Félix_Podmaniczky","http://dbpedia.org/resource/Margit_Zsilley"
"http://dbpedia.org/resource/Dream_Waltz","http://dbpedia.org/resource/Félix_Podmaniczky","http://dbpedia.org/resource/János_Sárdy"
"http://dbpedia.org/resource/Dream_Waltz","http://dbpedia.org/resource/Félix_Podmaniczky","http://dbpedia.org/resource/Mici_Erdélyi"
"http://dbpedia.org/resource/Dreams_of_Love_(1935_German_film)","http://dbpedia.org/resource/Heinz_Hille","http://dbpedia.org/resource/Olga_Chekhova"
"http://dbpedia.org/resource/Dreams_of_Love_(1935_German_film)","http://dbpedia.org/resource/Heinz_Hille","http://dbpedia.org/resource/Walter_Steinbeck"
"http://dbpedia.org/resource/Dreams_of_Love_(1935_German_film)","http://dbpedia.org/resource/Heinz_Hille","http://dbpedia.org/resource/Franz_Herterich"
"http://dbpedia.org/resource/Dry_Day","http://dbpedia.org/resource/Saurabh_Shukla","http://dbpedia.org/resource/Shriya_Pilgaonkar"
"http://dbpedia.org/resource/Dry_Day","http://dbpedia.org/resource/Saurabh_Shukla","http://dbpedia.org/resource/Annu_Kapoor"
"http://dbpedia.org/resource/Dry_Day","http://dbpedia.org/resource/Saurabh_Shukla","http://dbpedia.org/resource/Jitendra_Kumar"
"http://dbpedia.org/resource/Dvand:_The_Internal_Conflict","http://dbpedia.org/resource/Ishtiyak_Khan","http://dbpedia.org/resource/Ishtiyak_Khan"
"http://dbpedia.org/resource/Dvand:_The_Internal_Conflict","http://dbpedia.org/resource/Ishtiyak_Khan","http://dbpedia.org/resource/Sanjay_Mishra_(actor)"
"http://dbpedia.org/resource/Déryné_(film)","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/Gábor_Rajnay"
"http://dbpedia.org/resource/Déryné_(film)","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/Klári_Tolnay"
"http://dbpedia.org/resource/Déryné_(film)","http://dbpedia.org/resource/László_Kalmár_(director)","http://dbpedia.org/resource/Gyula_Gózon"
"http://dbpedia.org/resource/Dìdi","http://dbpedia.org/resource/Sean_Wang","http://dbpedia.org/resource/Joan_Chen"
"http://dbpedia.org/resource/Dìdi","http://dbpedia.org/resource/Sean_Wang","http://dbpedia.org/resource/Izaac_Wang"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Toby_Wallace"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Daniel_Brühl"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Jude_Law"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Richard_Roxburgh"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Felix_Kammerer"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Sydney_Sweeney"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Ana_de_Armas"
"http://dbpedia.org/resource/Eden_(2024_film)","http://dbpedia.org/resource/Ron_Howard","http://dbpedia.org/resource/Vanessa_Kirby"
"http://dbpedia.org/resource/Emilia_Pérez__Emilia_Pérez__1","http://dbpedia.org/resource/Jacques_Audiard","http://dbpedia.org/resource/Selena_Gomez"
